date,num_actions,position_category,price_index,external_index_data_minimal_price,external_index_data_price_index_value,self_marketplaces_index_data_minimal_price,self_marketplaces_index_data_price_index_value,marketing_seller_price,marketing_price,conv_tocart,conv_tocart_pdp,hits_tocart,hits_tocart_pdp,hits_view_search,shop_id,offer_id,title,warehouse_name,delivery_schema,gross_profit,sales_profit,prime_cost_of_paid,prime_cost_of_return,cancellation_processing,seller_bonuses_cost,cross_docking_cost_prod,gds_net_profit_after_tax,gds_profitability_after_tax,other_cost_prod,placement_cost_prod,promotion_advertising_prod,promotion_reviews_prod,shop_net_profit_after_tax,shop_net_profit_bfr_tax,shop_profitability_after_tax,gds_net_profit_bfr_tax,sum_installment_sale_cost_orders_commission_acquiring_cost_prod_direct_logistics_reverse_logistics_returns_commission_last_mile,accruals,TARGET
2023-09-11,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",ПУШКИНО_1,FBO,11245.70999633789,4757.879996337888,-7556.0,151.12,-150.0,-54.95,-215.75493287472398,2213.918992786456,712.4799999999999,-42.579397013970706,-164.52034961622542,-1911.1252829955768,-45.81861920768242,4757.879996337888,4757.879996337888,1380.84,2213.918992786456,-6447.0424218432545,18650.58999633789,51
2023-09-12,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",СОФЬИНО,FBO,9721.959999999997,4290.4299999999985,-6347.04,0.0,-100.0,-44.0,-185.8904204663064,2098.600713414711,593.86,-36.685613203219944,-141.74766044946682,-1646.589849355217,-39.47646654571334,4290.4299999999985,4290.4299999999985,1166.74,2098.600713414711,-5428.969276565364,16069.0,42
2023-09-13,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",РОСТОВ-НА-ДОНУ,FBO,10951.24,4888.049999999997,-7404.88,151.12,-50.0,-56.25,-210.60023054260435,2404.86796239435,644.66,-41.56211266193411,-160.58971675166742,-1865.465692171991,-44.723945078393896,4888.049999999997,4888.049999999997,1272.1,2404.86796239435,-6117.180340399057,18205.0,50
2023-09-14,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",РОСТОВ-НА-ДОНУ,FBO,6915.4,2369.769523071919,-4835.84,302.24,-300.0,-37.474999999999994,-132.4450447394824,808.1133215587596,573.78,-26.138128418922477,-100.99377462729142,-1173.1786162964638,-28.12658320255599,2369.769523071919,2369.769523071919,1037.56,808.1133215587596,-4308.929531156524,11449.0,34
2023-09-15,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",ЕКАТЕРИНБУРГ,FBO,8321.68,3606.2599999999993,-5440.32,0.0,-200.0,-33.75,-159.2024373923274,1729.1080526487806,596.52,-31.418719827164917,-121.3971811006013,-1410.191642717437,-33.8088949282536,3606.2599999999993,3606.2599999999993,1087.56,1729.1080526487806,-4602.803071385435,13762.0,36
2023-09-16,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",СОФЬИНО,FBO,5904.880000000001,2749.2300000000005,-4080.24,151.12,-50.0,-31.2,-111.18683808183296,1957.7217629458596,644.0300000000001,-29.08564590854212,-259.8866315223596,-267.3978366064295,-29.77116618248083,2749.2300000000005,2749.2300000000005,869.4300000000001,1957.7217629458596,-3168.6301187524955,9834.0,28
2023-09-17,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",ЖУКОВСКИЙ,FBO,8347.68,4222.85,-5440.32,0.0,-50.0,-36.5,-155.892223253235,3113.0965352346466,856.2000000000002,-40.78024057219635,-364.38040221987933,-374.911670849039,-41.74139102339287,4222.85,4222.85,1146.0,3113.0965352346466,-4170.377536847611,13788.0,36
2023-09-18,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",САНКТ-ПЕТЕРБУРГ,FBO,8517.56,4463.760000000001,-5591.44,0.0,0.0,-44.2,-159.52156787640646,3328.170238296028,883.1300000000003,-41.729650002401975,-372.8635839077659,-383.6400322025741,-42.713177106835644,4463.760000000001,4463.760000000001,1180.98,3328.170238296028,-4144.721750607988,14109.0,37
2023-09-19,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",САМАРА,FBO,9494.079999999998,4943.18,-6195.92,0.0,0.0,-40.050000000000004,-177.39693812324174,3680.3404393553533,972.23,-46.40571327079783,-414.6452357724041,-426.6292512054991,-47.49945062061461,4943.18,4943.18,1302.28,3680.3404393553533,-4661.11297165209,15690.0,41
2023-09-23,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",САНКТ-ПЕТЕРБУРГ,FBO,6755.4,3278.7261729492207,-4533.6,0.0,-100.0,-30.149999999999995,-127.63760576630185,2370.109487154612,676.3100000000001,-33.38904379311898,-298.3384363693225,-306.9609698444155,-34.175990953226155,3278.7261729492207,3278.7261729492207,917.81,2370.109487154612,-3454.638466119003,11289.0,30
